entidad_federativa,Unnamed: 0,municipio,distancia,grado_accesibilidad
Baja California,1989,Ensenada,"4,037.00",Accesibilidad muy alta
Baja California,1990,Ensenada,"24,238.20",Accesibilidad muy baja
Baja California,1991,Ensenada,"7,256.90",Accesibilidad muy baja
Baja California,1992,Ensenada,200,Accesibilidad alta
Baja California,1993,Ensenada,0,Accesibilidad alta
Baja California,1994,Ensenada,"39,319.30",Accesibilidad muy baja
Baja California,1995,Ensenada,"4,905.60",Accesibilidad muy baja
Baja California,1996,Ensenada,"6,174.90",Accesibilidad muy baja
Baja California,1997,Ensenada,"18,245.30",Accesibilidad muy baja
Baja California,1998,Ensenada,241.4,Accesibilidad muy alta
Baja California,1999,Ensenada,"3,897.10",Accesibilidad muy baja
Baja California,2000,Ensenada,282.8,Accesibilidad alta
Baja California,2001,Ensenada,0,Accesibilidad alta
Baja California,2002,Ensenada,"4,069.80",Accesibilidad muy baja
Baja California,2003,Ensenada,707.1,Accesibilidad alta
Baja California,2004,Ensenada,"1,069.20",Accesibilidad media
Baja California,2005,Ensenada,"22,188.80",Accesibilidad muy baja
Baja California,2006,Ensenada,382.8,Accesibilidad alta
Baja California,2007,Ensenada,"1,800.00",Accesibilidad media
Baja California,2008,Ensenada,600,Accesibilidad alta
Baja California,2009,Ensenada,"4,856.20",Accesibilidad muy baja
Baja California,2010,Ensenada,"3,082.80",Accesibilidad muy baja
Baja California,2011,Ensenada,"5,782.80",Accesibilidad muy baja
Baja California,2012,Ensenada,"1,024.30",Accesibilidad baja
Baja California,2013,Ensenada,"1,800.00",Accesibilidad media
Baja California,2014,Ensenada,200,Accesibilidad alta
Baja California,2015,Ensenada,"10,475.50",Accesibilidad muy baja
Baja California,2016,Ensenada,100,Accesibilidad alta
Baja California,2017,Ensenada,"3,635.50",Accesibilidad muy baja
Baja California,2018,Ensenada,"206,000.00",Accesibilidad muy baja
Baja California,2019,Ensenada,0,Accesibilidad alta
Baja California,2020,Ensenada,200,Accesibilidad muy alta
Baja California,2021,Ensenada,100,Accesibilidad alta
Baja California,2022,Ensenada,812.1,Accesibilidad muy alta
Baja California,2023,Ensenada,"2,604.20",Accesibilidad muy baja
Baja California,2024,Ensenada,"4,397.70",Accesibilidad muy baja
Baja California,2025,Ensenada,"2,267.80",Accesibilidad muy baja
Baja California,2026,Ensenada,"14,356.00",Accesibilidad muy baja
Baja California,2027,Ensenada,0,Accesibilidad muy alta
Baja California,2028,Ensenada,"1,060.70",Accesibilidad media
Baja California,2029,Ensenada,282.8,Accesibilidad alta
Baja California,2030,Ensenada,0,Accesibilidad alta
Baja California,2031,Ensenada,"1,448.50",Accesibilidad media
Baja California,2032,Ensenada,150,Accesibilidad muy alta
Baja California,2033,Ensenada,400,Accesibilidad muy alta
Baja California,2034,Ensenada,0,Accesibilidad alta
Baja California,2035,Ensenada,100,Accesibilidad muy alta
Baja California,2036,Ensenada,"13,409.50",Accesibilidad muy baja
Baja California,2037,Ensenada,"1,460.70",Accesibilidad media
Baja California,2038,Ensenada,"4,982.80",Accesibilidad muy baja
Baja California,2039,Ensenada,400,Accesibilidad alta
Baja California,2040,Ensenada,0,Accesibilidad alta
Baja California,2041,Ensenada,282.8,Accesibilidad alta
Baja California,2042,Ensenada,"3,700.00",Accesibilidad muy baja
Baja California,2043,Ensenada,"3,400.00",Accesibilidad muy baja
Baja California,2044,Ensenada,"2,184.90",Accesibilidad muy baja
Baja California,2045,Ensenada,500,Accesibilidad alta
Baja California,2046,Ensenada,"4,747.10",Accesibilidad muy baja
Baja California,2047,Ensenada,765.7,Accesibilidad alta
Baja California,2048,Ensenada,"3,795.00",Accesibilidad muy baja
